site,n
0.000000000000000000e+00,9.982869014083395331e-01
1.000000000000000000e+00,1.001619916056411208e+00
2.000000000000000000e+00,1.000066512908943661e+00
3.000000000000000000e+00,1.000022023214617084e+00
4.000000000000000000e+00,1.000002521813781131e+00
5.000000000000000000e+00,1.000002128807825574e+00
6.000000000000000000e+00,1.000000021741924261e+00
7.000000000000000000e+00,9.999999754741486502e-01
8.000000000000000000e+00,9.999999989022209101e-01
9.000000000000000000e+00,9.999999997067655633e-01
1.000000000000000000e+01,9.999999999792669181e-01
1.100000000000000000e+01,9.999999999857025479e-01
1.200000000000000000e+01,9.999999999998514522e-01
1.300000000000000000e+01,1.000000000000207612e+00
1.400000000000000000e+01,1.000000000000010436e+00
1.500000000000000000e+01,1.000000000000002220e+00
1.600000000000000000e+01,1.000000000000000666e+00
1.700000000000000000e+01,1.000000000000000000e+00
1.800000000000000000e+01,1.000000000000000222e+00
1.900000000000000000e+01,1.000000000000000222e+00
2.000000000000000000e+01,9.999999999999997780e-01
2.100000000000000000e+01,1.000000000000000444e+00
2.200000000000000000e+01,9.999999999999997780e-01
2.300000000000000000e+01,1.000000000000000666e+00
2.400000000000000000e+01,1.000000000000000222e+00
2.500000000000000000e+01,1.000000000000000444e+00
2.600000000000000000e+01,1.000000000000000000e+00
2.700000000000000000e+01,1.000000000000000222e+00
2.800000000000000000e+01,1.000000000000000222e+00
2.900000000000000000e+01,1.000000000000000444e+00
3.000000000000000000e+01,1.000000000000000000e+00
3.100000000000000000e+01,1.000000000000000444e+00
3.200000000000000000e+01,1.000000000000000222e+00
3.300000000000000000e+01,1.000000000000000444e+00
3.400000000000000000e+01,9.999999999999996669e-01
3.500000000000000000e+01,1.000000000000000444e+00
3.600000000000000000e+01,1.000000000000000000e+00
3.700000000000000000e+01,1.000000000000000222e+00
3.800000000000000000e+01,1.000000000000000000e+00
3.900000000000000000e+01,1.000000000000000444e+00
4.000000000000000000e+01,1.000000000000000000e+00
4.100000000000000000e+01,1.000000000000000222e+00
4.200000000000000000e+01,1.000000000000000000e+00
4.300000000000000000e+01,1.000000000000000444e+00
4.400000000000000000e+01,1.000000000000000444e+00
4.500000000000000000e+01,1.000000000000000222e+00
4.600000000000000000e+01,9.999999999999996669e-01
4.700000000000000000e+01,1.000000000000000222e+00
4.800000000000000000e+01,1.000000000000000000e+00
4.900000000000000000e+01,1.000000000000000666e+00
5.000000000000000000e+01,9.999999999999997780e-01
5.100000000000000000e+01,1.000000000000000666e+00
5.200000000000000000e+01,1.000000000000000000e+00
5.300000000000000000e+01,1.000000000000000222e+00
5.400000000000000000e+01,1.000000000000000000e+00
5.500000000000000000e+01,1.000000000000000444e+00
5.600000000000000000e+01,1.000000000000000222e+00
5.700000000000000000e+01,1.000000000000000222e+00
5.800000000000000000e+01,1.000000000000000000e+00
5.900000000000000000e+01,1.000000000000000000e+00
6.000000000000000000e+01,1.000000000000000222e+00
6.100000000000000000e+01,1.000000000000000444e+00
6.200000000000000000e+01,1.000000000000000444e+00
6.300000000000000000e+01,1.000000000000000666e+00
6.400000000000000000e+01,1.000000000000000000e+00
6.500000000000000000e+01,1.000000000000000666e+00
6.600000000000000000e+01,9.999999999999998890e-01
6.700000000000000000e+01,1.000000000000000666e+00
6.800000000000000000e+01,1.000000000000000222e+00
6.900000000000000000e+01,1.000000000000000000e+00
7.000000000000000000e+01,1.000000000000000222e+00
7.100000000000000000e+01,1.000000000000000000e+00
7.200000000000000000e+01,1.000000000000000000e+00
7.300000000000000000e+01,1.000000000000000222e+00
7.400000000000000000e+01,9.999999999999997780e-01
7.500000000000000000e+01,1.000000000000000444e+00
7.600000000000000000e+01,1.000000000000000222e+00
7.700000000000000000e+01,1.000000000000000222e+00
7.800000000000000000e+01,1.000000000000000222e+00
7.900000000000000000e+01,1.000000000000000666e+00
8.000000000000000000e+01,1.000000000000000000e+00
8.100000000000000000e+01,1.000000000000000000e+00
8.200000000000000000e+01,1.000000000000000000e+00
8.300000000000000000e+01,1.000000000000000666e+00
8.400000000000000000e+01,9.999999999999997780e-01
8.500000000000000000e+01,1.000000000000000666e+00
8.600000000000000000e+01,9.999999999999998890e-01
8.700000000000000000e+01,1.000000000000000444e+00
8.800000000000000000e+01,1.000000000000000222e+00
8.900000000000000000e+01,1.000000000000000222e+00
9.000000000000000000e+01,1.000000000000000222e+00
9.100000000000000000e+01,1.000000000000000444e+00
9.200000000000000000e+01,1.000000000000000444e+00
9.300000000000000000e+01,1.000000000000000666e+00
9.400000000000000000e+01,1.000000000000000222e+00
9.500000000000000000e+01,1.000000000000000444e+00
9.600000000000000000e+01,1.000000000000000000e+00
9.700000000000000000e+01,1.000000000000000888e+00
9.800000000000000000e+01,1.000000000000000000e+00
9.900000000000000000e+01,1.000000000000000666e+00
1.000000000000000000e+02,1.000000000000000000e+00
1.010000000000000000e+02,1.000000000000000444e+00
1.020000000000000000e+02,1.000000000000000444e+00
1.030000000000000000e+02,1.000000000000000666e+00
1.040000000000000000e+02,1.000000000000000222e+00
1.050000000000000000e+02,1.000000000000000666e+00
1.060000000000000000e+02,1.000000000000000000e+00
1.070000000000000000e+02,1.000000000000000666e+00
1.080000000000000000e+02,1.000000000000000222e+00
1.090000000000000000e+02,1.000000000000000444e+00
1.100000000000000000e+02,1.000000000000000000e+00
1.110000000000000000e+02,1.000000000000000222e+00
1.120000000000000000e+02,9.999999999999998890e-01
1.130000000000000000e+02,1.000000000000000222e+00
1.140000000000000000e+02,1.000000000000000222e+00
1.150000000000000000e+02,1.000000000000000666e+00
1.160000000000000000e+02,1.000000000000000222e+00
1.170000000000000000e+02,1.000000000000000444e+00
1.180000000000000000e+02,1.000000000000000222e+00
1.190000000000000000e+02,1.000000000000000222e+00
1.200000000000000000e+02,1.000000000000000222e+00
1.210000000000000000e+02,1.000000000000000666e+00
1.220000000000000000e+02,9.999999999999998890e-01
1.230000000000000000e+02,1.000000000000000666e+00
1.240000000000000000e+02,1.000000000000000000e+00
1.250000000000000000e+02,1.000000000000000000e+00
1.260000000000000000e+02,1.000000000000000444e+00
1.270000000000000000e+02,1.000000000000000222e+00
1.280000000000000000e+02,1.000000000000000222e+00
1.290000000000000000e+02,1.000000000000000666e+00
1.300000000000000000e+02,1.000000000000000222e+00
1.310000000000000000e+02,1.000000000000000666e+00
1.320000000000000000e+02,1.000000000000000222e+00
1.330000000000000000e+02,1.000000000000000444e+00
1.340000000000000000e+02,9.999999999999998890e-01
1.350000000000000000e+02,1.000000000000000666e+00
1.360000000000000000e+02,9.999999999999998890e-01
1.370000000000000000e+02,1.000000000000000666e+00
1.380000000000000000e+02,9.999999999999997780e-01
1.390000000000000000e+02,1.000000000000000666e+00
1.400000000000000000e+02,1.000000000000000666e+00
1.410000000000000000e+02,1.000000000000000222e+00
1.420000000000000000e+02,9.999999999999998890e-01
1.430000000000000000e+02,1.000000000000000666e+00
1.440000000000000000e+02,1.000000000000001776e+00
1.450000000000000000e+02,1.000000000000010436e+00
1.460000000000000000e+02,1.000000000000207612e+00
1.470000000000000000e+02,9.999999999998516742e-01
1.480000000000000000e+02,9.999999999857022148e-01
1.490000000000000000e+02,9.999999999792670291e-01
1.500000000000000000e+02,9.999999997067614554e-01
