r,C_n
6.300000000000000000e+01,1.989519660128280520e-13
6.400000000000000000e+01,2.202682480856310576e-13
6.500000000000000000e+01,2.060573933704290539e-13
6.600000000000000000e+01,2.771116669464390725e-13
6.700000000000000000e+01,2.486899575160350651e-13
6.800000000000000000e+01,2.060573933704290539e-13
6.900000000000000000e+01,1.989519660128280520e-13
7.000000000000000000e+01,2.202682480856310576e-13
7.100000000000000000e+01,2.273736754432320595e-13
7.200000000000000000e+01,2.415845301584340632e-13
7.300000000000000000e+01,2.273736754432320595e-13
7.400000000000000000e+01,3.055333763768430799e-13
7.500000000000000000e+01,2.771116669464390725e-13
7.600000000000000000e+01,2.486899575160350651e-13
7.700000000000000000e+01,2.344791028008330613e-13
7.800000000000000000e+01,2.700062395888380706e-13
7.900000000000000000e+01,2.629008122312370688e-13
8.000000000000000000e+01,2.771116669464390725e-13
8.100000000000000000e+01,2.629008122312370688e-13
8.200000000000000000e+01,3.410605131648480892e-13
8.300000000000000000e+01,3.126388037344440818e-13
8.400000000000000000e+01,2.771116669464390725e-13
8.500000000000000000e+01,2.700062395888380706e-13
8.600000000000000000e+01,2.984279490192420781e-13
8.700000000000000000e+01,3.055333763768430799e-13
8.800000000000000000e+01,3.126388037344440818e-13
8.900000000000000000e+01,2.984279490192420781e-13
9.000000000000000000e+01,3.836930773104541004e-13
9.100000000000000000e+01,3.552713678800500929e-13
9.200000000000000000e+01,3.197442310920450836e-13
9.300000000000000000e+01,3.197442310920450836e-13
9.400000000000000000e+01,3.481659405224490911e-13
9.500000000000000000e+01,3.410605131648480892e-13
9.600000000000000000e+01,3.552713678800500929e-13
9.700000000000000000e+01,3.410605131648480892e-13
9.800000000000000000e+01,4.263256414560601115e-13
9.900000000000000000e+01,3.907985046680551022e-13
1.000000000000000000e+02,3.694822225952520967e-13
1.010000000000000000e+02,3.623767952376510948e-13
1.020000000000000000e+02,3.907985046680551022e-13
1.030000000000000000e+02,3.907985046680551022e-13
1.040000000000000000e+02,3.907985046680551022e-13
1.050000000000000000e+02,3.836930773104541004e-13
1.060000000000000000e+02,4.689582056016661227e-13
1.070000000000000000e+02,4.263256414560601115e-13
1.080000000000000000e+02,4.121147867408581078e-13
1.090000000000000000e+02,3.979039320256561041e-13
1.100000000000000000e+02,4.334310688136611134e-13
1.110000000000000000e+02,4.263256414560601115e-13
1.120000000000000000e+02,4.334310688136611134e-13
1.130000000000000000e+02,4.263256414560601115e-13
1.140000000000000000e+02,4.973799150320701301e-13
1.150000000000000000e+02,4.547473508864641190e-13
1.160000000000000000e+02,4.263256414560601115e-13
1.170000000000000000e+02,4.192202140984591097e-13
1.180000000000000000e+02,4.618527782440651208e-13
1.190000000000000000e+02,4.618527782440651208e-13
1.200000000000000000e+02,4.618527782440651208e-13
1.210000000000000000e+02,4.618527782440651208e-13
1.220000000000000000e+02,5.258016244624741375e-13
1.230000000000000000e+02,4.902744876744691283e-13
1.240000000000000000e+02,4.689582056016661227e-13
1.250000000000000000e+02,4.547473508864641190e-13
1.260000000000000000e+02,4.831690603168681264e-13
1.270000000000000000e+02,4.902744876744691283e-13
1.280000000000000000e+02,5.115907697472721338e-13
1.290000000000000000e+02,4.973799150320701301e-13
1.300000000000000000e+02,5.613287612504791468e-13
1.310000000000000000e+02,5.186961971048731357e-13
1.320000000000000000e+02,4.973799150320701301e-13
1.330000000000000000e+02,4.760636329592671245e-13
1.340000000000000000e+02,5.115907697472721338e-13
1.350000000000000000e+02,5.186961971048731357e-13
1.360000000000000000e+02,5.329070518200751394e-13
1.370000000000000000e+02,5.186961971048731357e-13
1.380000000000000000e+02,5.968558980384841561e-13
1.390000000000000000e+02,5.613287612504791468e-13
1.400000000000000000e+02,5.329070518200751394e-13
1.410000000000000000e+02,5.258016244624741375e-13
1.420000000000000000e+02,5.471179065352771431e-13
1.430000000000000000e+02,5.542233338928781450e-13
1.440000000000000000e+02,5.684341886080801487e-13
1.450000000000000000e+02,5.542233338928781450e-13
1.460000000000000000e+02,6.394884621840901673e-13
1.470000000000000000e+02,6.039613253960851580e-13
1.480000000000000000e+02,5.897504706808831543e-13
1.490000000000000000e+02,5.684341886080801487e-13
1.500000000000000000e+02,5.897504706808831543e-13
1.510000000000000000e+02,6.039613253960851580e-13
1.520000000000000000e+02,6.110667527536861598e-13
1.530000000000000000e+02,5.968558980384841561e-13
1.540000000000000000e+02,6.750155989720951766e-13
1.550000000000000000e+02,6.536993168992921710e-13
1.560000000000000000e+02,6.323830348264891654e-13
1.570000000000000000e+02,6.181721801112871617e-13
1.580000000000000000e+02,6.465938895416911691e-13
1.590000000000000000e+02,6.465938895416911691e-13
1.600000000000000000e+02,6.536993168992921710e-13
1.610000000000000000e+02,6.394884621840901673e-13
1.620000000000000000e+02,7.247535904753021896e-13
1.630000000000000000e+02,6.892264536872971803e-13
1.640000000000000000e+02,6.608047442568931729e-13
1.650000000000000000e+02,6.679101716144941747e-13
1.660000000000000000e+02,6.963318810448981822e-13
1.670000000000000000e+02,6.892264536872971803e-13
1.680000000000000000e+02,7.034373084024991840e-13
1.690000000000000000e+02,6.892264536872971803e-13
1.700000000000000000e+02,7.673861546209082007e-13
1.710000000000000000e+02,7.318590178329031914e-13
1.720000000000000000e+02,6.963318810448981822e-13
1.730000000000000000e+02,7.105427357601001859e-13
1.740000000000000000e+02,7.318590178329031914e-13
1.750000000000000000e+02,7.247535904753021896e-13
1.760000000000000000e+02,7.318590178329031914e-13
1.770000000000000000e+02,7.176481631177011877e-13
1.780000000000000000e+02,7.958078640513122082e-13
1.790000000000000000e+02,7.531752999057061970e-13
1.800000000000000000e+02,7.247535904753021896e-13
1.810000000000000000e+02,7.318590178329031914e-13
1.820000000000000000e+02,7.531752999057061970e-13
1.830000000000000000e+02,7.460698725481051952e-13
1.840000000000000000e+02,7.460698725481051952e-13
1.850000000000000000e+02,7.318590178329031914e-13
1.860000000000000000e+02,8.100187187665142119e-13
1.870000000000000000e+02,7.744915819785092026e-13
1.880000000000000000e+02,7.531752999057061970e-13
1.890000000000000000e+02,7.460698725481051952e-13
1.900000000000000000e+02,7.673861546209082007e-13
1.910000000000000000e+02,7.673861546209082007e-13
1.920000000000000000e+02,7.815970093361102045e-13
1.930000000000000000e+02,7.673861546209082007e-13
1.940000000000000000e+02,8.455458555545192212e-13
1.950000000000000000e+02,8.171241461241152138e-13
1.960000000000000000e+02,7.744915819785092026e-13
1.970000000000000000e+02,7.673861546209082007e-13
1.980000000000000000e+02,7.958078640513122082e-13
1.990000000000000000e+02,8.029132914089132100e-13
